Seeds and Diffraction Patterns Group 1
Seeds:
[26.54643223 18.6424431   2.90449786] [32.28837533 25.90318335 -0.32724422] [38.38377972 18.43676722  2.02693584] [20.60580973 37.42305626  1.34469868] [0. 0. 0.]
Diffraction Patterns:
32 31 1.0
30 34 0.6525153632440917
29 29 0.2765500013896761
37 28 0.27334829854077053
27 37 0.2663581607104485
36 34 0.22483082440094052
40 25 0.1471501658805022
24 40 0.1396961765522409
38 36 0.12833832736997058
20 43 0.10941181750009739
44 21 0.10266875555387316
47 18 0.08034888102163008
24 33 0.06581802032108278
13 50 0.05579538984974834
60 5 0.05304518305353833
44 41 0.0524987944383216
11 53 0.051126407802784934
35 23 0.04891226394661389
53 11 0.04806834836722484
27 43 0.04456674050076353
44 32 0.04334332824168155
2 62 0.042812640653800714
54 15 0.04170668348181942
56 8 0.04152441157579395
17 20 0.03865268022725804
22 31 0.038445993682308034
10 49 0.03691551016720747
13 17 0.03656620083053142
13 46 0.036069223588429414
61 9 0.0345857444069318
52 46 0.03368068436982792
19 31 0.031910766749671776
46 27 0.03183463851987174
28 24 0.03176974733432962
57 12 0.031033916538161233
6 13 0.031021832727357285
51 29 0.029322134069364462
2 11 0.028277574543900147
14 34 0.02805075933521308
6 53 0.02743564059373469
49 29 0.02593685221939542
35 43 0.02505823078129443
60 62 0.02503870332982355
17 34 0.023523207636807993
53 26 0.02331679552031083
38 20 0.022866293305215266
50 24 0.022501682573520237
57 2 0.02211344897707604
19 36 0.02210354865862801
49 27 0.02170723840478343
7 1 0.021639788071890317
51 4 0.02162012695660258
61 53 0.02141753246585046
31 22 0.021367539207777696
54 4 0.02112628503760955
19 50 0.020969642105554367
29 18 0.019847380963750206
47 8 0.019549474882015208
34 49 0.019395217062874413
38 45 0.01931281870974527
3 4 0.0190882521404915
17 36 0.018728844783343204
4 2 0.018482466679214007
57 23 0.018363952524775764
40 18 0.018340489442975103
29 50 0.01804177098725593
44 14 0.017826792210396066
38 13 0.01781848208191173
57 17 0.01748018011709393
14 29 0.017279498807131567
23 9 0.016750100289326764
29 58 0.01665045106980971
26 10 0.016477007297231446
22 16 0.01641020505645007
32 56 0.01621005793598643
42 48 0.01610167600754962
26 51 0.016080821125579053
51 61 0.0160211810435748
49 34 0.015909505486872887
56 34 0.015822799175197223
10 37 0.015737825334007166
50 7 0.015263342808852429
12 27 0.015101024891870398
40 4 0.015097671067972118
14 41 0.014836082419713017
13 57 0.014723690624872832
41 13 0.01468108196329449
17 54 0.014643459269154436
6 47 0.014640603001985221
15 39 0.014313649185469431
53 21 0.01389459681740288
33 45 0.01381664180956378
42 6 0.013782092549639326
51 37 0.013356665631851531
60 39 0.013285752985455307
61 44 0.012243230414230616
4 19 0.01223014536640895
23 50 0.012226373579113171
49 53 0.011889338457650108
6 33 0.011307448528246306
31 14 0.011284623626773628
39 8 0.010853303791394805
59 42 0.010460987698986067
25 62 0.010325861951192845
35 15 0.010301526076671792
10 9 0.01016938396137783
58 28 0.009796452064120461
54 41 0.009721264087287924
60 30 0.009185609381264361
37 1 0.006399864792625417
19 62 0.0061912814150727555

Seeds and Diffraction Patterns Group 2
Seeds:
[35.31664159 22.07230358  0.5098311 ] [27.77362132 18.06591726 -2.70932227] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
31 31 1.0
33 33 0.952047455154023
40 47 0.08170592421892842
24 17 0.08159323005975017
