Seeds and Diffraction Patterns Group 1
Seeds:
[32.5807 18.1745  0.0979] [42.1336 24.1992  1.7659] [41.4915 31.6845  1.7443] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
33.0 33.0 1.0
30.0 30.0 0.3961
31.0 36.0 0.1139
38.0 37.0 0.102
25.0 26.0 0.0872
34.0 38.0 0.0758
29.0 25.0 0.0612
37.0 41.0 0.0345
47.0 42.0 0.034
16.0 21.0 0.0329
39.0 42.0 0.0316
24.0 21.0 0.0302
50.0 44.0 0.0266
13.0 19.0 0.0254
42.0 45.0 0.0239
28.0 39.0 0.0209
38.0 45.0 0.0207
37.0 26.0 0.0199
43.0 49.0 0.0181
55.0 4.0 0.0177
25.0 39.0 0.0171
29.0 19.0 0.0137
18.0 11.0 0.0135
41.0 24.0 0.013
47.0 56.0 0.0122
48.0 53.0 0.012
19.0 30.0 0.012
38.0 22.0 0.0118
46.0 28.0 0.0116
12.0 3.0 0.0109
19.0 34.0 0.0107
56.0 28.0 0.0105
46.0 36.0 0.0098
17.0 28.0 0.0093
27.0 56.0 0.0085
5.0 20.0 0.0075
5.0 26.0 0.0067
60.0 35.0 0.0065
58.0 22.0 0.004
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0

Seeds and Diffraction Patterns Group 2
Seeds:
[33.1271 30.13   -2.7407] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32.0 32.0 1.0
28.0 32.0 0.0782
36.0 32.0 0.0782
32.0 28.0 0.0782
32.0 36.0 0.0782
24.0 32.0 0.0211
40.0 32.0 0.0211
32.0 24.0 0.0211
32.0 40.0 0.0211
53.0 17.0 0.0029
11.0 17.0 0.0029
11.0 47.0 0.0029
53.0 47.0 0.0029
47.0 53.0 0.0029
17.0 53.0 0.0029
17.0 11.0 0.0029
47.0 11.0 0.0029
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
