full_dp Group 1
0.000000 0.000000 0.160659
1.000000 0.000000 0.223294
2.000000 0.000000 0.239185
3.000000 0.000000 0.176243
4.000000 0.000000 0.111870
5.000000 0.000000 0.191732
6.000000 0.000000 0.176864
7.000000 0.000000 0.098821
8.000000 0.000000 0.150843
9.000000 0.000000 0.215917
10.000000 0.000000 0.198515
11.000000 0.000000 0.123449
12.000000 0.000000 0.208962
13.000000 0.000000 0.248373
14.000000 0.000000 0.266842
15.000000 0.000000 0.269331
16.000000 0.000000 0.224408
17.000000 0.000000 0.110935
18.000000 0.000000 0.210627
19.000000 0.000000 0.222464
20.000000 0.000000 0.125637
21.000000 0.000000 0.167552
22.000000 0.000000 0.197697
23.000000 0.000000 0.183522
24.000000 0.000000 0.173967
25.000000 0.000000 0.163260
26.000000 0.000000 0.152589
27.000000 0.000000 0.158336
28.000000 0.000000 0.212391
29.000000 0.000000 0.232666
30.000000 0.000000 0.210219
31.000000 0.000000 0.161791
0.000000 1.000000 0.191451
1.000000 1.000000 0.238917
2.000000 1.000000 0.246657
3.000000 1.000000 0.199735
4.000000 1.000000 0.164373
5.000000 1.000000 0.209130
6.000000 1.000000 0.218842
7.000000 1.000000 0.189606
8.000000 1.000000 0.102968
9.000000 1.000000 0.139140
10.000000 1.000000 0.173529
11.000000 1.000000 0.185900
12.000000 1.000000 0.174761
13.000000 1.000000 0.117684
14.000000 1.000000 0.234978
15.000000 1.000000 0.291674
16.000000 1.000000 0.293902
17.000000 1.000000 0.287701
18.000000 1.000000 0.295094
19.000000 1.000000 0.261496
20.000000 1.000000 0.149451
21.000000 1.000000 0.171635
22.000000 1.000000 0.206927
23.000000 1.000000 0.182408
24.000000 1.000000 0.155430
25.000000 1.000000 0.150260
26.000000 1.000000 0.118528
27.000000 1.000000 0.134585
28.000000 1.000000 0.215576
29.000000 1.000000 0.235275
30.000000 1.000000 0.205914
31.000000 1.000000 0.164199
0.000000 2.000000 0.196802
1.000000 2.000000 0.224466
2.000000 2.000000 0.236367
3.000000 2.000000 0.217242
4.000000 2.000000 0.189379
5.000000 2.000000 0.208390
6.000000 2.000000 0.226657
7.000000 2.000000 0.208186
8.000000 2.000000 0.161392
9.000000 2.000000 0.147260
10.000000 2.000000 0.176582
11.000000 2.000000 0.190773
12.000000 2.000000 0.187364
13.000000 2.000000 0.261813
14.000000 2.000000 0.353391
15.000000 2.000000 0.402405
16.000000 2.000000 0.408288
